,Review,Sentiment
0,"That's one of the best marvel movie! I love the storytelling and the action, that was amazing. But honestly i didn't expect that. Friends told me that this is a great movie, but i watched trailer and it didn't impress me at all. One thing is a little disappointing it's the lack of fighting of the shan chi himself.",NEGATIVE
1,"Stupid, lazy and boring, I guessed the ending in the first 5 minutes, and it just goes on with what you expect what would happen, i didn't fill any tension throw the whole movie, and i found my self looking at my phone, The only good thing i can say about this is that the acting is ok.",NEGATIVE
2,Disturbingly Cringe. It's all bad jokes and cringe. An hour and a half of my life wasted,NEGATIVE
3,"F9 was fun, and after last year that is all I wanted. We can over analyze this film til the cows come home, we really can. Cena at times comes off flat. The story could have been a little more coherent. It had some big plot holes, the jokes didn't always land, but it gave me hot cars, beautiful locations, non stop fast paced action, actual human beings as characters. So it wasn't perfect or based in reality. If you want perfect the criterion collection has a channel. If you want something based in reality just go to your friends house during Tax Season, or sit in during a heated couple's argument. If you want a popcorn movie that doesn't involve an evil Purple Space Man that wears a doomsday device glove powered by colored stones, or Space Wizards frantically trying to do anything to spark nostalgia in hopes of rebooting a franchise that ended in 1983, so they can build an addition to a theme park for their parent company, then this movie is for you. This movie was fun, it didn't need to be anything else, and after last year don't you want fun?",NEGATIVE
4,"For 29 years Candyman fans have been waiting for the 1992 classic to get the sequel it deserves. It looked that was finally about to happen after all these years thanks to Nia DaCosta and, to a lesser extent, Jordan Peele. The social commentary that was largely absent in Farewell to the Flesh and Day of the Dead would be returning to add some much needed depth back into the mix without the white influence that, while well-meaning back then, would not have been met so warmly today, and maybe with the same kind of creative chills that made Get Out and Us so exciting. Unfortunately the wait goes on as despite the appearance of some incredible ideas this 2021 continuation fall short of its own lofty ambitions by backing itself into a self-defeating corner. The issue is that it's actively trying to be a sequel. It's clear that DaCosta and crew want to transform the titular character from the ghost of one African-American's suffering into an instrument of black vengeance. He's no longer just Daniel Robitaille. He's Eric Garner. He's Tamir Rice. He's George Floyd. At least until he's not anymore and becomes Daniel Robitaille again in an ending that contradicts everything the film had spent so long trying to set up and completely wastes Tony Todd anyways. This problem arises because in an effort to correct the perspective of its predecessor that came from it being a product of its time, they incorrectly wrote themselves into a position where he basically HAD to come back. A large portion of the running-time is dedicated to establishing connections and ties to the original, so we're constantly reminded of who the Candyman was there and eagerly await his return. Something that makes the appearance of this ""Sherman"" dude in his place rather irritating. It makes sense from a thematic standpoint, but man is it unfilling. Worse is that they could have gotten away with it had they not kept referencing what Bernard Rose had created prior. They made it so the past hangs over everything like an oppressive cloud that kills any enthusiasm for what's actually here when they should have gone the full reboot route and given their own ideas room to breathe. Speaking of room to breathe, this is one of those rare cases where a longer runtime would have been a good thing. A core component of the plot is the main character's gradual physical and mental descent into becoming someone (or something) in a way he doesn't seem fully aware of. Only it's not so gradual at all. He just seems to go insane from the moment he says the summoning words into a reflective surface, which feels unnatural and rushed. It's a cool body horror element that also never really comes into fruition. In fact, the horror side as a whole fails to deliver. DaCosta relies on cheap gore rather than truly effective frights to get the job done, kind of missing the point when it comes to what made the first Candyman scary. Most of the time though it's too caught up in its own dull plotting, unresolved threads, and hollow characters making the whole thing a bit of a bore. All of which might have been acceptable had there have been a satisfying payoff, but for the aforementioned reasons it shoots itself in the foot preventing that from being a possibility. While this may be a movie with a lot of ideas that don't come together, it only crumbles under the weight of one. It should have unshackled itself from the past entirely. Never mentioned Helen Lyle or brought back Todd for the few brief seconds he's in here. As by placing itself in the shadow of that earlier work, it has put certain expectations on itself that it feels the need to fulfill just as much as the audience needs to see them be fulfilled. This is not only a shame, but frustrating as well as it keeps the film's own bold and compelling reinvention of the property from ever taking hold when you can totally see how it could have succeeded if they hadn't of attempted the fruitless balancing act of fidelity and emendation. If there's one thing its flawed conclusion is good for though it's that it leaves the door still open for the possibility of this franchise not just being a one hit wonder at some point in the future, how ever delusional that hope may be. As of right now though, many will be left wanting for a while longer yet. This 2021 version, promising though it was and brilliant in brief instances, is (accidentally) counterproductive in the worst way. 4.9/10",NEGATIVE
5,"Fun, vibrant and endlessly entertaining. There wasn't a moment of this film that I didn't enjoy.",POSITIVE
6,"Did you wonder what bumbling Joe Biden did in his basement during the election? He wrote this movie. Did you want to watch a movie that tells you you're a racist if you love your country and refuse to allow millions of immigrants across the border unchecked? This is the one for you. On top of that it has all the woke check marks. Girls doing it for themselves, Anti-Americanism. Socialism. And real life Nazis with swastika face tattoos!! Do not watch this movie if you have an IQ over 20. All of this is on CNN.",NEGATIVE
7,Surprised this one is getting such a positive response. Poor by MCU standards. Story sucked. Didn’t care about the family. Acting performances were bad to mediocre with the sister being the worst in any MCU film. Took a ton of swings on laughs and came out average there. Completely forgettable bother than the bus scene.,NEGATIVE
8,It’s good but not great. Very interesting the way it ties into the first one. A lot of great acting. A few good jumps scares. All the reviews complaining about “woke messages” and “propaganda” are nonsense. Disregard. Go see the movie for yourself and keep an open mind.,POSITIVE
9,"Things That I Liked Most In The Jungle Cruise Movie!! 1) Perfect Casting Dwayne Johnson and Emily Blunt were electric together. They both bring so much fun to the movie. I love their chemistry. Besides the main hero and heroine, the character of Jack Whitehall was excellent. He played the role of Emily's brother & he rocked it with his performance. He brought so many comedic moments. 2) Great Comedy And Action The action & comedy were moving along at about the right pace, never dwelling too long on any of the plot points. 3) World-Building The sets, costumes, animals, vibrant colors, darker elements of Amazon, the intro of main characters, every single thing was beautiful enough to maintain the classic atmosphere.",POSITIVE
